"","MSZoning","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinType2","Heating","HeatingQC","CentralAir","KitchenQual","Functional","FireplaceQu","GarageType","GarageFinish","GarageQual","GarageCond","PavedDrive","PoolQC","Fence","MiscFeature","SaleType","SaleCondition","GarageYrBlt","Id","MSSubClass","LotArea","OverallQual","OverallCond","YearBuilt","YearRemodAdd","BsmtFinSF1","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","TotRmsAbvGrd","Fireplaces","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","MiscVal","MoSold","YrSold","SalePrice","LotFrontage","MasVnrType","MasVnrArea","Electrical"
"1","RL","Pave","None","Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story","Gable","CompShg","VinylSd","VinylSd","Gd","TA","PConc","Gd","TA","No","GLQ","Unf","GasA","Ex","Y","Gd","Typ","None","Attchd","RFn","TA","TA","Y","None","None","None","WD","Normal","2003",1,60,8450,7,5,2003,2003,706,0,150,856,856,854,0,1710,1,0,2,1,3,1,8,0,2,548,0,61,0,0,0,0,0,2,2008,208500,65,"BrkFace",196,"SBrkr"
"2","RL","Pave","None","Reg","Lvl","AllPub","FR2","Gtl","Veenker","Feedr","Norm","1Fam","1Story","Gable","CompShg","MetalSd","MetalSd","TA","TA","CBlock","Gd","TA","Gd","ALQ","Unf","GasA","Ex","Y","TA","Typ","TA","Attchd","RFn","TA","TA","Y","None","None","None","WD","Normal","1976",2,20,9600,6,8,1976,1976,978,0,284,1262,1262,0,0,1262,0,1,2,0,3,1,6,1,2,460,298,0,0,0,0,0,0,5,2007,181500,80,"None",0,"SBrkr"
"3","RL","Pave","None","IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story","Gable","CompShg","VinylSd","VinylSd","Gd","TA","PConc","Gd","TA","Mn","GLQ","Unf","GasA","Ex","Y","Gd","Typ","TA","Attchd","RFn","TA","TA","Y","None","None","None","WD","Normal","2001",3,60,11250,7,5,2001,2002,486,0,434,920,920,866,0,1786,1,0,2,1,3,1,6,1,2,608,0,42,0,0,0,0,0,9,2008,223500,68,"BrkFace",162,"SBrkr"
"4","RL","Pave","None","IR1","Lvl","AllPub","Corner","Gtl","Crawfor","Norm","Norm","1Fam","2Story","Gable","CompShg","Wd Sdng","Wd Shng","TA","TA","BrkTil","TA","Gd","No","ALQ","Unf","GasA","Gd","Y","Gd","Typ","Gd","Detchd","Unf","TA","TA","Y","None","None","None","WD","Abnorml","1998",4,70,9550,7,5,1915,1970,216,0,540,756,961,756,0,1717,1,0,1,0,3,1,7,1,3,642,0,35,272,0,0,0,0,2,2006,140000,60,"None",0,"SBrkr"
"5","RL","Pave","None","IR1","Lvl","AllPub","FR2","Gtl","NoRidge","Norm","Norm","1Fam","2Story","Gable","CompShg","VinylSd","VinylSd","Gd","TA","PConc","Gd","TA","Av","GLQ","Unf","GasA","Ex","Y","Gd","Typ","TA","Attchd","RFn","TA","TA","Y","None","None","None","WD","Normal","2000",5,60,14260,8,5,2000,2000,655,0,490,1145,1145,1053,0,2198,1,0,2,1,4,1,9,1,3,836,192,84,0,0,0,0,0,12,2008,250000,84,"BrkFace",350,"SBrkr"
"6","RL","Pave","None","IR1","Lvl","AllPub","Inside","Gtl","Mitchel","Norm","Norm","1Fam","1.5Fin","Gable","CompShg","VinylSd","VinylSd","TA","TA","Wood","Gd","TA","No","GLQ","Unf","GasA","Ex","Y","TA","Typ","None","Attchd","Unf","TA","TA","Y","None","MnPrv","Shed","WD","Normal","1993",6,50,14115,5,5,1993,1995,732,0,64,796,796,566,0,1362,1,0,1,1,1,1,5,0,2,480,40,30,0,320,0,0,700,10,2009,143000,85,"None",0,"SBrkr"
"7","RL","Pave","None","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story","Gable","CompShg","VinylSd","VinylSd","Gd","TA","PConc","Ex","TA","Av","GLQ","Unf","GasA","Ex","Y","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","None","None","None","WD","Normal","2004",7,20,10084,8,5,2004,2005,1369,0,317,1686,1694,0,0,1694,1,0,2,0,3,1,7,1,2,636,255,57,0,0,0,0,0,8,2007,307000,75,"Stone",186,"SBrkr"
"8","RL","Pave","None","IR1","Lvl","AllPub","Corner","Gtl","NWAmes","PosN","Norm","1Fam","2Story","Gable","CompShg","HdBoard","HdBoard","TA","TA","CBlock","Gd","TA","Mn","ALQ","BLQ","GasA","Ex","Y","TA","Typ","TA","Attchd","RFn","TA","TA","Y","None","None","Shed","WD","Normal","1973",8,60,10382,7,6,1973,1973,859,32,216,1107,1107,983,0,2090,1,0,2,1,3,1,7,2,2,484,235,204,228,0,0,0,350,11,2009,200000,81,"Stone",240,"SBrkr"
"9","RM","Pave","None","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Artery","Norm","1Fam","1.5Fin","Gable","CompShg","BrkFace","Wd Shng","TA","TA","BrkTil","TA","TA","No","Unf","Unf","GasA","Gd","Y","TA","Min1","TA","Detchd","Unf","Fa","TA","Y","None","None","None","WD","Abnorml","1931",9,50,6120,7,5,1931,1950,0,0,952,952,1022,752,0,1774,0,0,2,0,2,2,8,2,2,468,90,0,205,0,0,0,0,4,2008,129900,51,"None",0,"FuseF"
"10","RL","Pave","None","Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Artery","Artery","2fmCon","1.5Unf","Gable","CompShg","MetalSd","MetalSd","TA","TA","BrkTil","TA","TA","No","GLQ","Unf","GasA","Ex","Y","TA","Typ","TA","Attchd","RFn","Gd","TA","Y","None","None","None","WD","Normal","1939",10,190,7420,5,6,1939,1950,851,0,140,991,1077,0,0,1077,1,0,1,0,2,2,5,2,1,205,0,4,0,0,0,0,0,1,2008,118000,50,"None",0,"SBrkr"
