"","MSZoning","LotShape","LandContour","Neighborhood","BldgType","HouseStyle","Exterior1st","Exterior2nd","ExterQual","Foundation","BsmtQual","BsmtExposure","BsmtFinType1","HeatingQC","CentralAir","KitchenQual","Functional","FireplaceQu","GarageType","GarageFinish","GarageQual","GarageCond","PavedDrive","SaleCondition","GarageYrBlt","MSSubClass","LotArea","OverallQual","OverallCond","YearBuilt","YearRemodAdd","BsmtFinSF1","BsmtUnfSF","TotalBsmtSF","X1stFlrSF","X2ndFlrSF","GrLivArea","BsmtFullBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","TotRmsAbvGrd","Fireplaces","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","LotFrontage","MasVnrArea","Electrical","MoSold","YrSold","SalePrice","t"
"1","RL","Reg","Lvl","CollgCr","1Fam","2Story","VinylSd","VinylSd","Gd","PConc","Gd","No","GLQ","Ex","Y","Gd","Typ","None","Attchd","RFn","TA","TA","Y","Normal","2003",60,8450,7,5,2003,2003,706,150,856,856,854,1710,1,2,1,3,1,8,0,2,548,0,61,65,196,"SBrkr",2,2008,208500,Feb 2008
"2","RL","Reg","Lvl","Veenker","1Fam","1Story","MetalSd","MetalSd","TA","CBlock","Gd","Gd","ALQ","Ex","Y","TA","Typ","TA","Attchd","RFn","TA","TA","Y","Normal","1976",20,9600,6,8,1976,1976,978,284,1262,1262,0,1262,0,2,0,3,1,6,1,2,460,298,0,80,0,"SBrkr",5,2007,181500,May 2007
"3","RL","IR1","Lvl","CollgCr","1Fam","2Story","VinylSd","VinylSd","Gd","PConc","Gd","Mn","GLQ","Ex","Y","Gd","Typ","TA","Attchd","RFn","TA","TA","Y","Normal","2001",60,11250,7,5,2001,2002,486,434,920,920,866,1786,1,2,1,3,1,6,1,2,608,0,42,68,162,"SBrkr",9,2008,223500,Sep 2008
"4","RL","IR1","Lvl","Crawfor","1Fam","2Story","Wd Sdng","Wd Shng","TA","BrkTil","TA","No","ALQ","Gd","Y","Gd","Typ","Gd","Detchd","Unf","TA","TA","Y","Abnorml","1998",70,9550,7,5,1915,1970,216,540,756,961,756,1717,1,1,0,3,1,7,1,3,642,0,35,60,0,"SBrkr",2,2006,140000,Feb 2006
"5","RL","IR1","Lvl","NoRidge","1Fam","2Story","VinylSd","VinylSd","Gd","PConc","Gd","Av","GLQ","Ex","Y","Gd","Typ","TA","Attchd","RFn","TA","TA","Y","Normal","2000",60,14260,8,5,2000,2000,655,490,1145,1145,1053,2198,1,2,1,4,1,9,1,3,836,192,84,84,350,"SBrkr",12,2008,250000,Dec 2008
"6","RL","IR1","Lvl","Mitchel","1Fam","1.5Fin","VinylSd","VinylSd","TA","Wood","Gd","No","GLQ","Ex","Y","TA","Typ","None","Attchd","Unf","TA","TA","Y","Normal","1993",50,14115,5,5,1993,1995,732,64,796,796,566,1362,1,1,1,1,1,5,0,2,480,40,30,85,0,"SBrkr",10,2009,143000,Oct 2009
"7","RL","Reg","Lvl","Somerst","1Fam","1Story","VinylSd","VinylSd","Gd","PConc","Ex","Av","GLQ","Ex","Y","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","Normal","2004",20,10084,8,5,2004,2005,1369,317,1686,1694,0,1694,1,2,0,3,1,7,1,2,636,255,57,75,186,"SBrkr",8,2007,307000,Aug 2007
"8","RL","IR1","Lvl","NWAmes","1Fam","2Story","HdBoard","HdBoard","TA","CBlock","Gd","Mn","ALQ","Ex","Y","TA","Typ","TA","Attchd","RFn","TA","TA","Y","Normal","1973",60,10382,7,6,1973,1973,859,216,1107,1107,983,2090,1,2,1,3,1,7,2,2,484,235,204,81,240,"SBrkr",11,2009,200000,Nov 2009
"9","RM","Reg","Lvl","OldTown","1Fam","1.5Fin","BrkFace","Wd Shng","TA","BrkTil","TA","No","Unf","Gd","Y","TA","Min1","TA","Detchd","Unf","Fa","TA","Y","Abnorml","1931",50,6120,7,5,1931,1950,0,952,952,1022,752,1774,0,2,0,2,2,8,2,2,468,90,0,51,0,"FuseF",4,2008,129900,Apr 2008
"10","RL","Reg","Lvl","BrkSide","2fmCon","1.5Unf","MetalSd","MetalSd","TA","BrkTil","TA","No","GLQ","Ex","Y","TA","Typ","TA","Attchd","RFn","Gd","TA","Y","Normal","1939",190,7420,5,6,1939,1950,851,140,991,1077,0,1077,1,1,0,2,2,5,2,1,205,0,4,50,0,"SBrkr",1,2008,118000,Jan 2008
"11","RL","Reg","Lvl","Sawyer","1Fam","1Story","HdBoard","HdBoard","TA","CBlock","TA","No","Rec","Ex","Y","TA","Typ","None","Detchd","Unf","TA","TA","Y","Normal","1965",20,11200,5,5,1965,1965,906,134,1040,1040,0,1040,1,1,0,3,1,5,0,1,384,0,0,70,0,"SBrkr",2,2008,129500,Feb 2008
"12","RL","IR1","Lvl","NridgHt","1Fam","2Story","WdShing","Wd Shng","Ex","PConc","Ex","No","GLQ","Ex","Y","Ex","Typ","Gd","BuiltIn","Fin","TA","TA","Y","Partial","2005",60,11924,9,5,2005,2006,998,177,1175,1182,1142,2324,1,3,0,4,1,11,2,3,736,147,21,85,286,"SBrkr",7,2006,345000,Jul 2006
"13","RL","IR2","Lvl","Sawyer","1Fam","1Story","HdBoard","Plywood","TA","CBlock","TA","No","ALQ","TA","Y","TA","Typ","None","Detchd","Unf","TA","TA","Y","Normal","1962",20,12968,5,6,1962,1962,737,175,912,912,0,912,1,1,0,2,1,4,0,1,352,140,0,75,0,"SBrkr",9,2008,144000,Sep 2008
"14","RL","IR1","Lvl","CollgCr","1Fam","1Story","VinylSd","VinylSd","Gd","PConc","Gd","Av","Unf","Ex","Y","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","Partial","2006",20,10652,7,5,2006,2007,0,1494,1494,1494,0,1494,0,2,0,3,1,7,1,3,840,160,33,91,306,"SBrkr",8,2007,279500,Aug 2007
"15","RL","IR1","Lvl","NAmes","1Fam","1Story","MetalSd","MetalSd","TA","CBlock","TA","No","BLQ","TA","Y","TA","Typ","Fa","Attchd","RFn","TA","TA","Y","Normal","1960",20,10920,6,5,1960,1960,733,520,1253,1253,0,1253,1,1,1,2,1,5,1,1,352,0,213,79,212,"SBrkr",5,2008,157000,May 2008
"16","RM","Reg","Lvl","BrkSide","1Fam","1.5Unf","Wd Sdng","Wd Sdng","TA","BrkTil","TA","No","Unf","Ex","Y","TA","Typ","None","Detchd","Unf","TA","TA","Y","Normal","1991",45,6120,7,8,1929,2001,0,832,832,854,0,854,0,1,0,2,1,5,0,2,576,48,112,51,0,"FuseA",7,2007,132000,Jul 2007
"17","RL","IR1","Lvl","NAmes","1Fam","1Story","Wd Sdng","Wd Sdng","TA","CBlock","TA","No","ALQ","Ex","Y","TA","Typ","TA","Attchd","Fin","TA","TA","Y","Normal","1970",20,11241,6,7,1970,1970,578,426,1004,1004,0,1004,1,1,0,2,1,5,1,2,480,0,0,44,180,"SBrkr",3,2010,149000,Mar 2010
"18","RL","Reg","Lvl","Sawyer","Duplex","1Story","MetalSd","MetalSd","TA","Slab","None","None","None","TA","Y","TA","Typ","None","CarPort","Unf","TA","TA","Y","Normal","1967",90,10791,4,5,1967,1967,0,0,0,1296,0,1296,0,2,0,2,2,6,0,2,516,0,0,72,0,"SBrkr",10,2006,90000,Oct 2006
"19","RL","Reg","Lvl","SawyerW","1Fam","1Story","VinylSd","VinylSd","TA","PConc","TA","No","GLQ","Ex","Y","Gd","Typ","None","Detchd","Unf","TA","TA","Y","Normal","2004",20,13695,5,5,2004,2004,646,468,1114,1114,0,1114,1,1,1,3,1,6,0,2,576,0,102,66,0,"SBrkr",6,2008,159000,Jun 2008
"20","RL","Reg","Lvl","NAmes","1Fam","1Story","BrkFace","Plywood","TA","CBlock","TA","No","LwQ","TA","Y","TA","Min1","None","Attchd","Unf","TA","TA","Y","Abnorml","1958",20,7560,5,6,1958,1965,504,525,1029,1339,0,1339,0,1,0,3,1,6,0,1,294,0,0,70,0,"SBrkr",5,2009,139000,May 2009
"21","RL","IR1","Lvl","NridgHt","1Fam","2Story","VinylSd","VinylSd","Gd","PConc","Ex","Av","Unf","Ex","Y","Gd","Typ","Gd","BuiltIn","RFn","TA","TA","Y","Partial","2005",60,14215,8,5,2005,2006,0,1158,1158,1158,1218,2376,0,3,1,4,1,9,1,3,853,240,154,101,380,"SBrkr",11,2006,325300,Nov 2006
"22","RM","Reg","Bnk","IDOTRR","1Fam","1.5Unf","Wd Sdng","Wd Sdng","TA","PConc","TA","No","Unf","Ex","Y","Gd","Typ","Gd","Attchd","Unf","TA","TA","N","Normal","1930",45,7449,7,7,1930,1950,0,637,637,1108,0,1108,0,1,0,3,1,6,1,1,280,0,0,57,0,"FuseF",6,2007,139400,Jun 2007
"23","RL","Reg","Lvl","CollgCr","1Fam","1Story","VinylSd","VinylSd","Gd","PConc","Gd","No","Unf","Ex","Y","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","Normal","2002",20,9742,8,5,2002,2002,0,1777,1777,1795,0,1795,0,2,0,3,1,7,1,2,534,171,159,75,281,"SBrkr",9,2008,230000,Sep 2008
"24","RM","Reg","Lvl","MeadowV","TwnhsE","1Story","CemntBd","CmentBd","TA","PConc","Gd","No","GLQ","TA","Y","TA","Typ","TA","Attchd","Unf","TA","TA","Y","Normal","1976",120,4224,5,7,1976,1976,840,200,1040,1060,0,1060,1,1,0,3,1,6,1,2,572,100,110,44,0,"SBrkr",6,2007,129900,Jun 2007
"25","RL","IR1","Lvl","Sawyer","1Fam","1Story","Plywood","Plywood","TA","CBlock","TA","Mn","Rec","Ex","Y","Gd","Typ","TA","Attchd","Unf","TA","TA","Y","Normal","1968",20,8246,5,8,1968,2001,188,204,1060,1060,0,1060,1,1,0,3,1,6,1,1,270,406,90,65,0,"SBrkr",5,2010,154000,May 2010
"26","RL","Reg","Lvl","NridgHt","1Fam","1Story","VinylSd","VinylSd","Gd","PConc","Gd","No","Unf","Ex","Y","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","Normal","2007",20,14230,8,5,2007,2007,0,1566,1566,1600,0,1600,0,2,0,3,1,7,1,3,890,0,56,110,640,"SBrkr",7,2009,256300,Jul 2009
"27","RL","Reg","Lvl","NAmes","1Fam","1Story","Wd Sdng","Wd Sdng","TA","CBlock","TA","Mn","BLQ","TA","Y","Gd","Typ","None","Detchd","Unf","TA","TA","Y","Normal","2005",20,7200,5,7,1951,2000,234,180,900,900,0,900,0,1,0,3,1,5,0,2,576,222,32,60,0,"SBrkr",5,2010,134800,May 2010
"28","RL","Reg","Lvl","NridgHt","1Fam","1Story","VinylSd","VinylSd","Gd","PConc","Ex","No","GLQ","Ex","Y","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","Normal","2008",20,11478,8,5,2007,2008,1218,486,1704,1704,0,1704,1,2,0,3,1,7,1,3,772,0,50,98,200,"SBrkr",5,2010,306000,May 2010
"29","RL","IR1","Lvl","NAmes","1Fam","1Story","MetalSd","MetalSd","TA","CBlock","TA","Gd","BLQ","TA","Y","TA","Typ","Gd","Attchd","RFn","TA","TA","Y","Normal","1957",20,16321,5,6,1957,1997,1277,207,1484,1600,0,1600,1,1,0,2,1,6,2,1,319,288,258,47,0,"SBrkr",12,2006,207500,Dec 2006
"30","RM","IR1","Lvl","BrkSide","1Fam","1Story","MetalSd","MetalSd","TA","BrkTil","TA","No","Unf","Fa","N","Fa","Typ","None","Detchd","Unf","Fa","TA","Y","Normal","1920",30,6324,4,6,1927,1950,0,520,520,520,0,520,0,1,0,1,1,4,0,1,240,49,0,60,0,"SBrkr",5,2008,68500,May 2008
"31","C (all)","Reg","Lvl","IDOTRR","1Fam","2Story","BrkFace","BrkFace","TA","BrkTil","TA","No","Unf","TA","N","TA","Typ","None","Detchd","Unf","TA","Fa","N","Normal","1920",70,8500,4,4,1920,1950,0,649,649,649,668,1317,0,1,0,3,1,6,0,1,250,0,54,50,0,"SBrkr",7,2008,40000,Jul 2008
"32","RL","IR1","Lvl","Sawyer","1Fam","1Story","HdBoard","HdBoard","TA","CBlock","TA","No","Unf","Gd","Y","Gd","Typ","None","Attchd","Unf","TA","TA","Y","Normal","1966",20,8544,5,6,1966,2006,0,1228,1228,1228,0,1228,0,1,1,3,1,6,0,1,271,0,65,37,0,"SBrkr",6,2008,149350,Jun 2008
"33","RL","Reg","Lvl","CollgCr","1Fam","1Story","VinylSd","VinylSd","Gd","PConc","Ex","Av","Unf","Ex","Y","Gd","Typ","None","Attchd","RFn","TA","TA","Y","Normal","2007",20,11049,8,5,2007,2007,0,1234,1234,1234,0,1234,0,2,0,3,1,7,0,2,484,0,30,85,0,"SBrkr",1,2008,179900,Jan 2008
"34","RL","IR1","Lvl","NAmes","1Fam","1Story","BrkFace","BrkFace","TA","CBlock","TA","No","Rec","Gd","Y","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","Normal","1959",20,10552,5,5,1959,1959,1018,380,1398,1700,0,1700,0,1,1,4,1,6,1,2,447,0,38,70,0,"SBrkr",4,2010,165500,Apr 2010
"35","RL","Reg","Lvl","NridgHt","TwnhsE","1Story","MetalSd","MetalSd","Ex","PConc","Ex","No","GLQ","Ex","Y","Ex","Typ","Gd","Attchd","Fin","TA","TA","Y","Normal","2005",120,7313,9,5,2005,2005,1153,408,1561,1561,0,1561,1,2,0,2,1,6,1,2,556,203,47,60,246,"SBrkr",8,2007,277500,Aug 2007
"36","RL","Reg","Lvl","NridgHt","1Fam","2Story","VinylSd","VinylSd","Gd","PConc","Ex","Av","Unf","Ex","Y","Gd","Typ","Gd","BuiltIn","Fin","TA","TA","Y","Normal","2004",60,13418,8,5,2004,2005,0,1117,1117,1132,1320,2452,0,3,1,4,1,9,1,3,691,113,32,108,132,"SBrkr",9,2006,309000,Sep 2006
"37","RL","Reg","Lvl","CollgCr","1Fam","1Story","VinylSd","VinylSd","TA","PConc","Gd","No","Unf","Ex","Y","TA","Typ","None","Attchd","Unf","TA","TA","Y","Normal","1995",20,10859,5,5,1994,1995,0,1097,1097,1097,0,1097,0,1,1,3,1,6,0,2,672,392,64,112,0,"SBrkr",6,2009,145000,Jun 2009
"38","RL","Reg","Lvl","NAmes","1Fam","1Story","Wd Sdng","Wd Sdng","TA","CBlock","TA","No","Rec","Gd","Y","TA","Typ","TA","Attchd","Fin","TA","TA","Y","Normal","1954",20,8532,5,6,1954,1990,1213,84,1297,1297,0,1297,0,1,0,3,1,5,1,2,498,0,0,74,650,"SBrkr",10,2009,153000,Oct 2009
"39","RL","Reg","Lvl","NAmes","1Fam","1Story","VinylSd","VinylSd","TA","CBlock","TA","No","GLQ","TA","Y","Gd","Typ","None","Detchd","Unf","TA","TA","Y","Abnorml","1953",20,7922,5,7,1953,2007,731,326,1057,1057,0,1057,1,1,0,3,1,5,0,1,246,0,52,68,0,"SBrkr",1,2010,109000,Jan 2010
"40","RL","Reg","Lvl","Edwards","Duplex","1Story","AsbShng","Plywood","TA","PConc","None","None","None","TA","N","Fa","Typ","None","None","None","None","None","N","AdjLand","None",90,6040,4,5,1955,1955,0,0,0,1152,0,1152,0,2,0,2,2,6,0,0,0,0,0,65,0,"FuseP",6,2008,82000,Jun 2008
"41","RL","Reg","Lvl","NAmes","1Fam","1Story","Wd Sdng","Wd Sdng","TA","CBlock","TA","No","Rec","Ex","Y","TA","Typ","TA","Attchd","RFn","TA","TA","Y","Abnorml","1965",20,8658,6,5,1965,1965,643,445,1088,1324,0,1324,0,2,0,3,1,6,1,2,440,0,138,84,101,"SBrkr",12,2006,160000,Dec 2006
"42","RL","Reg","Lvl","Timber","1Fam","1Story","VinylSd","VinylSd","TA","CBlock","TA","Gd","BLQ","Gd","Y","TA","Typ","Gd","Attchd","RFn","TA","TA","P","Normal","1959",20,16905,5,6,1959,1959,967,383,1350,1328,0,1328,0,1,1,2,1,5,2,1,308,0,104,115,0,"SBrkr",7,2007,170000,Jul 2007
"43","RL","IR1","Lvl","SawyerW","1Fam","SFoyer","HdBoard","HdBoard","TA","CBlock","Gd","Av","ALQ","Gd","Y","Gd","Typ","None","Attchd","RFn","TA","Gd","Y","Normal","1983",85,9180,5,7,1983,1983,747,0,840,884,0,884,1,1,0,2,1,5,0,2,504,240,0,93,0,"SBrkr",12,2007,144000,Dec 2007
"44","RL","IR1","Lvl","CollgCr","1Fam","1Story","VinylSd","VinylSd","TA","CBlock","Gd","Av","LwQ","TA","Y","TA","Typ","None","Detchd","Unf","TA","TA","Y","Normal","1977",20,9200,5,6,1975,1980,280,167,938,938,0,938,1,1,0,3,1,5,0,1,308,145,0,44,0,"SBrkr",7,2008,130250,Jul 2008
"45","RL","Reg","Lvl","NAmes","1Fam","1Story","BrkFace","Wd Sdng","TA","CBlock","TA","No","ALQ","Ex","Y","TA","Typ","None","Attchd","RFn","TA","TA","Y","Normal","1959",20,7945,5,6,1959,1959,179,465,1150,1150,0,1150,1,1,0,3,1,6,0,1,300,0,0,70,0,"FuseA",5,2006,141000,May 2006
"46","RL","Reg","Lvl","NridgHt","TwnhsE","1Story","MetalSd","MetalSd","Ex","PConc","Ex","No","GLQ","Ex","Y","Ex","Typ","Gd","Attchd","RFn","TA","TA","Y","Normal","2005",120,7658,9,5,2005,2005,456,1296,1752,1752,0,1752,1,2,0,2,1,6,1,2,576,196,82,61,412,"SBrkr",2,2010,319900,Feb 2010
"47","RL","IR1","Lvl","Mitchel","1Fam","1.5Fin","VinylSd","VinylSd","Gd","PConc","Ex","No","GLQ","Ex","Y","Gd","Typ","Ex","Attchd","RFn","TA","TA","Y","Abnorml","2003",50,12822,7,5,2003,2003,1351,83,1434,1518,631,2149,1,1,1,1,1,6,1,2,670,168,43,48,0,"SBrkr",8,2009,239686,Aug 2009
"48","FV","Reg","Lvl","Somerst","1Fam","1Story","VinylSd","VinylSd","Gd","PConc","Gd","Av","GLQ","Ex","Y","Gd","Typ","None","Attchd","RFn","TA","TA","Y","Normal","2006",20,11096,8,5,2006,2006,24,1632,1656,1656,0,1656,0,2,0,3,1,7,0,3,826,0,146,84,0,"SBrkr",7,2007,249700,Jul 2007
"49","RM","Reg","Lvl","OldTown","2fmCon","2Story","MetalSd","MetalSd","TA","BrkTil","TA","No","Unf","Gd","Y","TA","Typ","None","None","None","None","None","N","Partial","None",190,4456,4,5,1920,2008,0,736,736,736,716,1452,0,2,0,2,3,8,0,0,0,0,0,33,0,"SBrkr",6,2009,113000,Jun 2009
"50","RL","Reg","Lvl","Sawyer","1Fam","1Story","HdBoard","HdBoard","TA","CBlock","TA","No","BLQ","Ex","Y","TA","Typ","None","Attchd","Unf","TA","TA","Y","Normal","1966",20,7742,5,7,1966,1966,763,192,955,955,0,955,1,1,0,3,1,6,0,1,386,0,0,66,0,"SBrkr",1,2007,127000,Jan 2007
"51","RL","IR2","Lvl","Gilbert","1Fam","2Story","VinylSd","VinylSd","TA","PConc","Gd","Av","GLQ","Gd","Y","TA","Typ","None","Attchd","Fin","TA","TA","Y","Normal","1997",60,13869,6,6,1997,1997,182,612,794,794,676,1470,0,2,0,3,1,6,0,2,388,0,75,41,0,"SBrkr",7,2007,177000,Jul 2007
"52","RM","Reg","Lvl","BrkSide","1Fam","1.5Fin","Wd Sdng","Wd Sdng","TA","PConc","TA","No","Unf","TA","Y","TA","Typ","Gd","Detchd","Unf","TA","TA","Y","Normal","1985",50,6240,6,6,1934,1950,0,816,816,816,0,1176,0,1,0,3,1,6,1,2,528,112,0,52,0,"SBrkr",9,2006,114500,Sep 2006
"53","RM","IR2","Bnk","IDOTRR","Duplex","1Story","Wd Sdng","Wd Sdng","Fa","CBlock","Gd","Gd","LwQ","TA","N","TA","Typ","None","CarPort","Unf","TA","TA","Y","Normal","1963",90,8472,5,5,1963,1963,104,0,816,816,0,816,1,1,0,2,1,5,0,2,516,106,0,110,0,"SBrkr",5,2010,110000,May 2010
"54","RL","IR1","Low","Veenker","1Fam","1Story","WdShing","Wd Shng","Gd","CBlock","Ex","Gd","GLQ","Gd","Y","Gd","Typ","Gd","Attchd","Fin","TA","TA","Y","Normal","1981",20,50271,9,5,1981,1987,1810,32,1842,1842,0,1842,2,0,1,0,1,5,1,3,894,857,72,68,0,"SBrkr",11,2006,385000,Nov 2006
"55","RL","Reg","Bnk","NAmes","1Fam","SLvl","MetalSd","MetalSd","TA","CBlock","TA","No","ALQ","TA","Y","TA","Min1","TA","Detchd","Unf","TA","TA","Y","Normal","1962",80,7134,5,5,1955,1955,384,0,384,1360,0,1360,0,1,0,3,1,6,1,2,572,0,50,60,0,"SBrkr",2,2007,130000,Feb 2007
"56","RL","IR1","Lvl","NAmes","1Fam","1Story","HdBoard","Plywood","TA","CBlock","TA","No","BLQ","Gd","Y","TA","Typ","Gd","Attchd","RFn","TA","TA","Y","Normal","1964",20,10175,6,5,1964,1964,490,935,1425,1425,0,1425,0,2,0,3,1,7,1,2,576,0,0,100,272,"SBrkr",7,2008,180500,Jul 2008
"57","FV","Reg","Lvl","Somerst","Twnhs","2Story","MetalSd","MetalSd","Gd","PConc","Gd","No","GLQ","Ex","Y","Gd","Typ","None","Attchd","Fin","TA","TA","Y","Abnorml","1999",160,2645,8,5,1999,2000,649,321,970,983,756,1739,1,2,1,3,1,7,0,2,480,115,0,24,456,"SBrkr",8,2009,172500,Aug 2009
"58","RL","IR1","Lvl","CollgCr","1Fam","2Story","VinylSd","VinylSd","Gd","PConc","Gd","No","Unf","Ex","Y","Gd","Typ","None","Attchd","RFn","TA","TA","Y","Normal","2004",60,11645,7,5,2004,2004,0,860,860,860,860,1720,0,2,1,3,1,7,0,2,565,0,70,89,0,"SBrkr",8,2006,196500,Aug 2006
"59","RL","IR2","HLS","StoneBr","1Fam","2Story","VinylSd","VinylSd","Ex","PConc","Ex","Gd","Unf","Ex","Y","Gd","Typ","Gd","BuiltIn","Fin","TA","TA","Y","Partial","2006",60,13682,10,5,2006,2006,0,1410,1410,1426,1519,2945,0,3,1,3,1,10,1,3,641,192,0,66,1031,"SBrkr",10,2006,438780,Oct 2006
"60","RL","Reg","Bnk","CollgCr","1Fam","1Story","HdBoard","HdBoard","TA","CBlock","TA","Av","ALQ","Ex","Y","TA","Typ","None","Detchd","Unf","TA","TA","Y","Normal","1973",20,7200,5,7,1972,1972,632,148,780,780,0,780,0,1,0,2,1,4,0,1,352,196,0,60,0,"SBrkr",1,2008,124900,Jan 2008
"61","RL","Reg","Lvl","SawyerW","1Fam","1Story","VinylSd","VinylSd","TA","PConc","Gd","No","ALQ","Ex","Y","Gd","Typ","None","Detchd","Unf","TA","TA","Y","Partial","2006",20,13072,6,5,2004,2004,941,217,1158,1158,0,1158,1,1,1,3,1,5,0,2,576,0,50,63,0,"SBrkr",5,2006,158000,May 2006
"62","RM","Reg","Lvl","IDOTRR","1Fam","2.5Unf","MetalSd","MetalSd","TA","BrkTil","TA","No","Unf","TA","N","Fa","Typ","None","Detchd","Unf","TA","TA","N","Normal","1935",75,7200,5,7,1920,1996,0,530,530,581,530,1111,0,1,0,3,1,6,0,1,288,0,0,60,0,"SBrkr",3,2007,101000,Mar 2007
"63","RL","IR1","Lvl","NridgHt","TwnhsE","1Story","VinylSd","VinylSd","Gd","PConc","Gd","Mn","GLQ","Ex","Y","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","Normal","2006",120,6442,8,5,2006,2006,24,1346,1370,1370,0,1370,0,2,0,2,1,6,1,2,484,120,49,44,178,"SBrkr",10,2007,202500,Oct 2007
"64","RM","IR1","Bnk","OldTown","1Fam","2Story","Stucco","Stucco","TA","BrkTil","TA","No","Unf","Gd","Y","TA","Typ","None","Detchd","Unf","TA","TA","Y","Normal","1990",70,10300,7,6,1921,1950,0,576,576,902,808,1710,0,2,0,3,1,9,0,2,480,12,11,50,0,"SBrkr",4,2010,140000,Apr 2010
"65","RL","Reg","Lvl","CollgCr","1Fam","2Story","VinylSd","VinylSd","TA","PConc","Gd","No","GLQ","Ex","Y","Gd","Typ","None","Attchd","RFn","TA","TA","Y","Normal","1998",60,9375,7,5,1997,1998,739,318,1057,1057,977,2034,1,2,1,3,1,8,0,2,645,576,36,90,573,"SBrkr",2,2009,219500,Feb 2009
"66","RL","Reg","Lvl","NridgHt","1Fam","2Story","VinylSd","VinylSd","Gd","PConc","Ex","Av","Unf","Ex","Y","Gd","Typ","Gd","BuiltIn","RFn","TA","TA","Y","Normal","2004",60,9591,8,5,2004,2005,0,1143,1143,1143,1330,2473,0,2,1,4,1,9,1,3,852,192,151,76,344,"SBrkr",10,2007,317000,Oct 2007
"67","RL","Reg","Lvl","NAmes","1Fam","1Story","Plywood","Plywood","TA","CBlock","Gd","Gd","GLQ","TA","Y","TA","Min1","Gd","Attchd","RFn","TA","TA","Y","Normal","1970",20,19900,7,5,1970,1989,912,1035,1947,2207,0,2207,1,2,0,3,1,7,1,2,576,301,0,100,287,"SBrkr",7,2010,180000,Jul 2010
